Time, Value
1536307663.850, 57
1536307664.861, 78
1536307665.865, 91
1536307666.843, 94
1536307667.865, 94
1536307668.863, 78
1536307669.872, 56
1536307670.834, 53
1536307671.865, 43
1536307672.831, 57
1536307673.845, 60
1536307674.847, 51
1536307675.841, 48
1536307676.845, 38
1536307677.856, 54
1536307678.865, 83
1536307679.859, 97
1536307680.848, 90
1536307681.862, 78
1536307682.832, 66
1536307683.848, 57
1536307684.848, 78
1536307685.843, 81
1536307686.849, 94
1536307687.844, 100
1536307688.846, 94
1536307689.862, 100
1536307690.845, 94
1536307691.857, 96
1536307692.842, 93
1536307693.858, 93
1536307694.858, 100
1536307695.862, 100
1536307696.862, 100
1536307697.845, 100
1536307698.849, 91
1536307699.832, 81
1536307700.846, 70
1536307701.857, 60
1536307702.846, 70
1536307703.857, 74
1536307704.843, 90
1536307705.843, 100
1536307706.863, 100
1536307707.841, 93
1536307708.860, 81
1536307709.846, 66
1536307710.878, 66
1536307711.832, 60
1536307712.847, 61
1536307713.855, 70
1536307714.849, 77
1536307715.847, 87
1536307716.846, 97
1536307717.875, 96
1536307718.860, 93
1536307719.841, 87
1536307720.863, 83
1536307721.849, 75
1536307722.840, 83
1536307723.832, 93
1536307724.841, 90
1536307725.876, 84
1536307726.856, 78
1536307727.843, 56
1536307728.857, 30
1536307729.845, 53
1536307730.855, 57
1536307731.850, 75
1536307732.864, 100
1536307733.829, 84
1536307734.847, 80
1536307735.847, 77
1536307736.858, 88
1536307737.862, 81
1536307738.861, 84
1536307739.844, 91
1536307740.880, 81
1536307741.846, 97
1536307742.856, 88
1536307743.836, 78
1536307744.845, 60
1536307745.847, 53
1536307746.840, 53
1536307747.847, 57
1536307748.855, 74
1536307749.859, 75
1536307750.856, 87
1536307751.862, 87
1536307752.857, 84
1536307753.834, 84
1536307754.839, 80
1536307755.832, 94
1536307756.849, 96
1536307757.847, 97
1536307758.861, 100
1536307759.860, 87
1536307760.864, 78
1536307761.860, 64
1536307762.854, 60
1536307763.845, 44
1536307764.859, 54
1536307765.843, 56
1536307766.860, 54
1536307767.861, 70
1536307768.839, 64
1536307769.860, 66
1536307770.827, 75
1536307771.845, 75
1536307772.864, 83
1536307773.848, 90
1536307774.861, 96
1536307775.833, 84
1536307776.843, 77
1536307777.854, 74
1536307778.839, 64
1536307779.859, 64
1536307780.848, 74
1536307781.860, 77
1536307782.833, 64
1536307783.843, 74
1536307784.857, 64
1536307785.845, 51
1536307786.860, 54
1536307787.839, 40
1536307788.845, 26
1536307789.855, 27
1536307790.860, 21
1536307791.847, 35
1536307792.848, 35
1536307793.841, 37
1536307794.827, 47
1536307795.842, 44
1536307796.860, 50
1536307797.832, 57
1536307798.846, 51
1536307799.858, 57
1536307800.840, 67
1536307801.860, 70
1536307802.833, 78
1536307803.860, 77
1536307804.832, 84
1536307805.849, 70
1536307806.843, 69
1536307807.844, 81
1536307808.861, 74
1536307809.854, 87
1536307810.838, 80
1536307811.874, 64
1536307812.838, 74
1536307813.907, 77
1536307814.829, 66
1536307815.844, 64
1536307816.833, 41
1536307817.845, 29
1536307818.862, 54
1536307819.846, 57
1536307820.857, 64
1536307821.859, 77
1536307822.857, 75
1536307823.860, 81
1536307824.845, 78
1536307825.839, 75
1536307826.847, 64
1536307827.847, 67
1536307828.862, 70
1536307829.845, 66
1536307830.842, 64
1536307831.828, 50
1536307832.843, 44
1536307833.860, 37
1536307834.845, 26
1536307835.839, 24
1536307836.839, 29
1536307837.855, 34
1536307838.855, 40
1536307839.862, 38
1536307840.847, 40
1536307841.830, 34
1536307842.860, 47
1536307843.831, 60
1536307844.834, 60
1536307845.858, 69
1536307846.840, 54
1536307847.845, 57
1536307848.854, 48
1536307849.844, 44
1536307850.847, 44
1536307851.844, 41
1536307852.854, 50
1536307853.831, 48
1536307854.858, 54
1536307855.826, 63
1536307856.838, 64
1536307857.847, 70
1536307858.831, 70
1536307859.843, 60
1536307860.860, 51
1536307861.846, 66
1536307862.858, 57
1536307863.841, 60
1536307864.838, 75
1536307865.860, 64
1536307866.837, 88
1536307867.854, 100
1536307868.838, 100
1536307869.874, 96
1536307870.861, 83
1536307871.837, 67
1536307872.846, 63
1536307873.843, 61
1536307874.858, 66
1536307875.844, 60
1536307876.843, 66
1536307877.858, 77
1536307878.847, 78
1536307879.857, 93
1536307880.853, 100
1536307881.856, 87
1536307882.855, 88
1536307883.831, 91
1536307884.873, 81
1536307885.846, 91
1536307886.873, 83
1536307887.844, 88
1536307888.840, 84
1536307889.845, 90
1536307890.846, 88
1536307891.840, 81
1536307892.860, 80
1536307893.841, 81
1536307894.856, 81
1536307895.859, 70
1536307896.837, 74
1536307897.843, 60
1536307898.841, 61
1536307899.874, 70
1536307900.838, 64
1536307901.857, 80
1536307902.831, 90
1536307903.846, 83
1536307904.856, 88
1536307905.843, 70
1536307906.846, 60
1536307907.844, 69
1536307908.859, 77
1536307909.860, 81
1536307910.858, 88
1536307911.844, 81
1536307912.842, 81
1536307913.860, 81
1536307914.827, 77
1536307915.845, 66
1536307916.852, 57
1536307917.845, 63
1536307918.853, 64
1536307919.859, 69
1536307920.836, 74
1536307921.859, 64
1536307922.842, 66
1536307923.858, 69
1536307924.827, 67
1536307925.858, 67
1536307926.824, 57
1536307927.846, 60
1536307928.858, 53
1536307929.842, 53
1536307930.837, 54
1536307931.852, 53
1536307932.840, 56
1536307933.856, 53
1536307934.826, 54
1536307935.842, 56
1536307936.837, 61
1536307937.844, 75
1536307938.857, 80
1536307939.837, 74
1536307940.858, 70
1536307941.857, 67
1536307942.836, 64
1536307943.853, 69
1536307944.829, 66
1536307945.858, 61
1536307946.829, 48
1536307947.841, 40
1536307948.858, 50
1536307949.839, 50
1536307950.853, 66
1536307951.843, 70
1536307952.844, 74
1536307953.852, 81
1536307954.836, 77
1536307955.856, 83
1536307956.843, 80
1536307957.838, 74
1536307958.830, 87
1536307959.842, 91
1536307960.841, 78
1536307961.842, 88
1536307962.844, 66
1536307963.841, 60
1536307964.843, 66
1536307965.852, 61
1536307966.843, 63
1536307967.842, 67
1536307968.860, 75
1536307969.843, 77
1536307970.858, 70
1536307971.843, 57
1536307972.858, 40
1536307973.827, 37
1536307974.839, 50
1536307975.824, 51
1536307976.844, 63
1536307977.838, 67
1536307978.837, 78
1536307979.839, 81
1536307980.859, 67
1536307981.855, 61
1536307982.858, 43
1536307983.825, 30
1536307984.856, 47
1536307985.825, 35
1536307986.841, 40
1536307987.823, 56
1536307988.836, 47
1536307989.837, 50
1536307990.844, 61
1536307991.838, 53
1536307992.850, 56
1536307993.825, 60
1536307994.856, 56
1536307995.828, 63
1536307996.857, 64
1536307997.827, 67
1536307998.858, 70
1536307999.857, 77
1536308000.845, 84
1536308001.839, 78
1536308002.871, 84
1536308003.836, 70
1536308004.843, 77
1536308005.827, 74
1536308006.834, 51
1536308007.830, 56
1536308008.835, 54
1536308009.840, 69
1536308010.838, 70
1536308011.844, 67
1536308012.858, 66
1536308013.855, 74
1536308014.858, 83
1536308015.826, 84
1536308016.850, 75
1536308017.837, 75
1536308018.841, 70
1536308019.860, 77
1536308020.845, 80
1536308021.856, 64
1536308022.842, 63
1536308023.839, 63
1536308024.860, 61
1536308025.843, 61
1536308026.855, 66
1536308027.842, 63
1536308028.836, 67
1536308029.824, 77
1536308030.840, 66
1536308031.858, 64
1536308032.841, 64
1536308033.854, 44
1536308034.822, 51
1536308035.828, 63
1536308036.853, 64
1536308037.840, 74
1536308038.837, 75
1536308039.844, 63
1536308040.836, 57
1536308041.854, 74
1536308042.835, 75
1536308043.867, 84
1536308044.824, 88
1536308045.838, 90
1536308046.822, 90
1536308047.841, 83
1536308048.837, 75
1536308049.840, 66
1536308050.835, 56
1536308051.850, 47
1536308052.839, 56
1536308053.840, 35
1536308054.860, 26
1536308055.855, 29
1536308056.820, 26
1536308057.834, 35
1536308058.824, 47
1536308059.838, 60
1536308060.841, 63
1536308061.854, 69
1536308062.833, 70
1536308063.859, 51
1536308064.842, 60
1536308065.842, 63
1536308066.822, 63
1536308067.843, 70
1536308068.827, 63
1536308069.843, 60
1536308070.837, 60
1536308071.841, 61
1536308072.854, 61
1536308073.868, 61
1536308074.840, 57
1536308075.850, 54
1536308076.824, 44
1536308077.839, 51
1536308078.821, 61
1536308079.835, 61
1536308080.839, 66
1536308081.842, 61
1536308082.854, 50
1536308083.822, 56
1536308084.855, 57
1536308085.851, 60
1536308086.827, 67
1536308087.857, 63
1536308088.839, 60
1536308089.840, 66
1536308090.857, 60
1536308091.835, 63
1536308092.839, 63
1536308093.824, 67
1536308094.836, 54
1536308095.844, 43
1536308096.827, 43
1536308097.855, 34
1536308098.834, 47
1536308099.851, 57
1536308100.827, 70
1536308101.834, 70
1536308102.839, 64
1536308103.836, 64
1536308104.855, 54
1536308105.824, 69
1536308106.842, 74
1536308107.827, 51
1536308108.834, 54
1536308109.839, 43
1536308110.854, 57
1536308111.840, 66
1536308112.858, 60
1536308113.842, 60
1536308114.852, 48
1536308115.825, 63
1536308116.872, 70
1536308117.824, 80
1536308118.842, 78
1536308119.833, 80
1536308120.828, 74
1536308121.837, 63
1536308122.853, 66
1536308123.839, 57
1536308124.849, 69
1536308125.835, 63
1536308126.856, 56
1536308127.821, 53
1536308128.838, 48
1536308129.824, 57
1536308130.838, 64
1536308131.837, 75
1536308132.853, 80
1536308133.836, 77
1536308134.848, 67
1536308135.825, 64
1536308136.857, 60
1536308137.822, 57
1536308138.833, 57
1536308139.827, 63
1536308140.836, 54
1536308141.837, 60
1536308142.853, 66
1536308143.834, 54
1536308144.853, 51
1536308145.832, 44
1536308146.871, 30
1536308147.826, 35
1536308148.838, 37
1536308149.826, 48
1536308150.838, 53
1536308151.842, 51
1536308152.826, 43
1536308153.853, 41
1536308154.824, 48
1536308155.841, 48
1536308156.853, 63
1536308157.823, 63
1536308158.852, 60
1536308159.826, 63
1536308160.835, 63
1536308161.854, 54
1536308162.839, 48
1536308163.837, 51
1536308164.821, 53
1536308165.838, 70
1536308166.832, 75
1536308167.832, 69
1536308168.855, 69
1536308169.838, 51
1536308170.851, 51
1536308171.824, 47
1536308172.854, 34
1536308173.857, 41
1536308174.864, 38
1536308175.854, 38
1536308176.820, 41
1536308177.828, 30
1536308178.821, 44
1536308179.838, 48
1536308180.837, 47
1536308181.840, 67
1536308182.838, 64
1536308183.847, 69
1536308184.838, 81
1536308185.853, 60
1536308186.822, 47
1536308187.854, 44
1536308188.821, 43
1536308189.825, 51
1536308190.836, 56
1536308191.826, 54
1536308192.834, 54
1536308193.848, 56
1536308194.835, 63
1536308195.840, 57
1536308196.839, 53
1536308197.840, 50
1536308198.852, 54
1536308199.831, 60
1536308200.822, 61
1536308201.832, 56
1536308202.850, 53
1536308203.822, 47
1536308204.839, 51
1536308205.848, 50
1536308206.837, 50
1536308207.854, 63
1536308208.822, 63
1536308209.837, 77
1536308210.824, 77
1536308211.839, 51
1536308212.835, 61
1536308213.852, 53
1536308214.836, 35
1536308215.825, 63
1536308216.839, 53
1536308217.868, 60
1536308218.820, 64
1536308219.835, 57
1536308220.819, 63
1536308221.833, 51
1536308222.853, 56
1536308223.838, 51
1536308224.851, 43
1536308225.817, 48
1536308226.835, 35
1536308227.821, 34
1536308228.852, 20
1536308229.856, 29
1536308230.838, 34
1536308231.836, 37
1536308232.866, 47
1536308233.834, 34
1536308234.855, 41
1536308235.821, 54
1536308236.837, 61
1536308237.817, 67
1536308238.830, 66
1536308239.839, 63
1536308240.821, 56
1536308241.831, 44
1536308242.837, 48
1536308243.855, 43
1536308244.851, 37
1536308245.834, 48
1536308246.837, 43
1536308247.825, 54
1536308248.834, 64
1536308249.819, 54
1536308250.824, 61
1536308251.829, 44
1536308252.824, 48
1536308253.830, 53
1536308254.846, 51
1536308255.830, 63
1536308256.837, 61
1536308257.817, 69
1536308258.850, 77
1536308259.816, 69
1536308260.839, 64
1536308261.832, 64
1536308262.823, 57
1536308263.835, 57
1536308264.853, 66
1536308265.839, 60
1536308266.845, 50
1536308267.839, 60
1536308268.836, 60
1536308269.833, 56
1536308270.831, 74
1536308271.821, 50
1536308272.830, 44
1536308273.852, 51
1536308274.831, 41
1536308275.833, 56
1536308276.845, 43
1536308277.822, 47
1536308278.853, 54
1536308279.837, 35
1536308280.834, 51
1536308281.821, 41
1536308282.838, 26
1536308283.833, 35
1536308284.832, 26
1536308285.832, 34
1536308286.820, 48
1536308287.835, 66
1536308288.846, 69
1536308289.821, 70
1536308290.831, 77
1536308291.823, 74
1536308292.830, 70
1536308293.836, 69
1536308294.829, 66
1536308295.836, 40
1536308296.814, 44
1536308297.830, 40
1536308298.821, 37
1536308299.835, 60
1536308300.838, 47
1536308301.824, 44
1536308302.863, 34
1536308303.848, 44
1536308304.830, 50
1536308305.837, 57
1536308306.823, 70
1536308307.834, 51
1536308308.819, 51
1536308309.830, 50
1536308310.820, 51
1536308311.821, 54
1536308312.837, 50
1536308313.819, 48
1536308314.838, 35
1536308315.851, 35
1536308316.847, 38
1536308317.844, 48
1536308318.819, 64
1536308319.839, 74
1536308320.822, 80
1536308321.839, 74
1536308322.835, 69
1536308323.830, 60
1536308324.829, 53
1536308325.853, 47
1536308326.836, 43
1536308327.845, 41
1536308328.818, 40
1536308329.851, 48
1536308330.819, 43
1536308331.836, 51
1536308332.833, 50
1536308333.837, 30
1536308334.853, 35
1536308335.817, 30
1536308336.834, 34
1536308337.838, 57
1536308338.818, 60
1536308339.853, 60
1536308340.836, 67
1536308341.834, 56
1536308342.849, 63
1536308343.829, 74
1536308344.845, 69
1536308345.823, 63
1536308346.850, 67
1536308347.817, 47
1536308348.819, 51
1536308349.837, 53
1536308350.820, 40
1536308351.835, 66
1536308352.822, 61
1536308353.831, 69
1536308354.835, 69
1536308355.832, 61
1536308356.834, 64
1536308357.821, 66
1536308358.836, 78
1536308359.822, 67
1536308360.828, 69
1536308361.827, 70
1536308362.818, 63
1536308363.834, 53
1536308364.834, 54
1536308365.827, 56
1536308366.867, 63
1536308367.817, 70
1536308368.836, 60
1536308369.820, 47
1536308370.837, 40
1536308371.823, 51
1536308372.837, 54
1536308373.834, 64
1536308374.848, 75
1536308375.836, 64
1536308376.849, 69
1536308377.834, 66
1536308378.834, 56
1536308379.816, 48
1536308380.834, 51
1536308381.816, 44
1536308382.819, 44
1536308383.835, 54
1536308384.836, 56
1536308385.830, 56
1536308386.834, 51
1536308387.843, 64
1536308388.850, 63
1536308389.818, 77
1536308390.830, 94
1536308391.815, 84
1536308392.829, 78
1536308393.837, 77
1536308394.820, 66
1536308395.830, 61
1536308396.837, 57
1536308397.831, 56
1536308398.865, 48
1536308399.821, 43
1536308400.833, 54
1536308401.820, 63
1536308402.848, 50
1536308403.834, 53
1536308404.828, 60
1536308405.834, 50
1536308406.818, 61
1536308407.828, 66
1536308408.843, 48
1536308409.832, 40
1536308410.847, 37
1536308411.833, 37
1536308412.834, 35
1536308413.832, 41
1536308414.828, 47
1536308415.832, 40
1536308416.819, 50
1536308417.846, 61
1536308418.817, 63
1536308419.822, 74
1536308420.842, 63
1536308421.815, 61
1536308422.829, 66
1536308423.816, 60
1536308424.836, 78
1536308425.830, 78
1536308426.822, 69
1536308427.830, 69
1536308428.837, 57
1536308429.832, 50
1536308430.818, 51
1536308431.833, 50
1536308432.848, 51
1536308433.822, 47
1536308434.828, 54
1536308435.847, 64
1536308436.820, 70
1536308437.831, 74
1536308438.816, 75
1536308439.828, 70
1536308440.815, 56
1536308441.820, 63
1536308442.816, 50
1536308443.829, 56
1536308444.828, 75
1536308445.848, 70
1536308446.831, 78
1536308447.846, 51
1536308448.812, 30
1536308449.833, 47
1536308450.821, 57
1536308451.831, 63
1536308452.815, 88
1536308453.820, 74
1536308454.826, 57
1536308455.831, 48
1536308456.834, 21
1536308457.844, 29
1536308458.845, 43
1536308459.835, 57
1536308460.818, 63
1536308461.835, 56
1536308462.822, 50
1536308463.826, 40
1536308464.833, 50
1536308465.831, 57
1536308466.833, 57
1536308467.818, 78
1536308468.832, 87
1536308469.850, 75
1536308470.833, 75
1536308471.847, 78
1536308472.830, 60
1536308473.845, 69
1536308474.848, 70
1536308475.849, 54
1536308476.830, 56
1536308477.814, 50
1536308478.831, 47
1536308479.814, 56
1536308480.816, 60
1536308481.850, 54
1536308482.831, 57
1536308483.826, 50
1536308484.836, 50
1536308485.828, 56
1536308486.828, 48
1536308487.832, 51
1536308488.850, 50
1536308489.814, 50
1536308490.832, 50
1536308491.817, 53
1536308492.818, 56
1536308493.827, 51
1536308494.831, 53
1536308495.825, 64
1536308496.833, 63
1536308497.827, 64
1536308498.831, 74
1536308499.818, 53
1536308500.831, 38
1536308501.834, 38
1536308502.816, 35
1536308503.844, 40
1536308504.818, 51
1536308505.843, 56
1536308506.844, 40
1536308507.830, 54
1536308508.847, 60
1536308509.816, 48
1536308510.833, 60
1536308511.816, 38
1536308512.825, 44
1536308513.809, 66
1536308514.830, 67
1536308515.824, 74
1536308516.840, 60
1536308517.831, 43
1536308518.842, 48
1536308519.813, 50
1536308520.844, 53
1536308521.817, 53
1536308522.830, 43
1536308523.819, 30
1536308524.831, 23
1536308525.826, 30
1536308526.816, 41
1536308527.828, 66
1536308528.841, 88
1536308529.832, 88
1536308530.849, 81
1536308531.846, 64
1536308532.832, 53
1536308533.810, 41
1536308534.832, 29
1536308535.845, 38
1536308536.816, 47
1536308537.825, 64
1536308538.814, 51
1536308539.829, 40
1536308540.834, 41
1536308541.817, 27
1536308542.845, 53
1536308543.816, 64
1536308544.827, 53
1536308545.829, 57
1536308546.831, 57
1536308547.831, 41
1536308548.818, 43
1536308549.829, 48
1536308550.810, 35
1536308551.832, 44
1536308552.832, 53
1536308553.814, 44
1536308554.832, 63
1536308555.810, 67
1536308556.826, 54
1536308557.835, 48
1536308558.831, 50
1536308559.824, 37
1536308560.813, 41
1536308561.845, 44
1536308562.818, 38
1536308563.813, 43
1536308564.831, 56
1536308565.816, 66
1536308566.830, 64
1536308567.828, 78
1536308568.830, 67
1536308569.828, 56
1536308570.815, 50
1536308571.828, 35
1536308572.826, 30
1536308573.831, 40
1536308574.846, 38
1536308575.830, 50
1536308576.840, 60
1536308577.848, 53
1536308578.830, 77
1536308579.829, 78
1536308580.811, 81
1536308581.830, 77
1536308582.815, 51
1536308583.820, 43
1536308584.815, 34
1536308585.815, 43
1536308586.830, 38
1536308587.833, 43
1536308588.827, 50
1536308589.844, 48
1536308590.818, 56
1536308591.847, 60
1536308592.812, 63
1536308593.828, 60
1536308594.812, 64
1536308595.830, 54
1536308596.823, 47
1536308597.816, 47
1536308598.827, 43
1536308599.829, 50
1536308600.827, 53
1536308601.845, 57
1536308602.828, 67
1536308603.828, 69
1536308604.818, 74
1536308605.824, 80
1536308606.845, 70
1536308607.831, 61
1536308608.828, 56
1536308609.815, 56
1536308610.823, 57
1536308611.817, 60
1536308612.813, 60
1536308613.831, 54
1536308614.809, 66
1536308615.829, 67
1536308616.827, 66
1536308617.831, 67
1536308618.826, 51
1536308619.814, 53
1536308620.831, 44
1536308621.816, 41
1536308622.832, 43
1536308623.813, 47
1536308624.812, 64
1536308625.828, 60
1536308626.811, 74
1536308627.831, 70
1536308628.844, 53
1536308629.823, 67
1536308630.830, 63
1536308631.831, 50
1536308632.828, 61
1536308633.813, 54
1536308634.812, 43
1536308635.825, 60
1536308636.810, 64
1536308637.825, 54
1536308638.829, 51
1536308639.816, 43
1536308640.827, 41
1536308641.810, 44
1536308642.826, 48
1536308643.815, 43
1536308644.816, 30
1536308645.824, 38
1536308646.830, 38
1536308647.848, 38
1536308648.839, 40
1536308649.844, 40
1536308650.831, 43
1536308651.808, 50
1536308652.829, 54
1536308653.807, 50
1536308654.814, 53
1536308655.812, 48
1536308656.828, 35
1536308657.829, 38
1536308658.815, 29
1536308659.827, 37
1536308660.842, 63
1536308661.813, 63
1536308662.838, 64
1536308663.814, 54
1536308664.832, 48
1536308665.808, 44
1536308666.833, 47
1536308667.828, 56
1536308668.812, 69
1536308669.830, 77
1536308670.814, 75
1536308671.821, 83
1536308672.846, 64
1536308673.830, 67
1536308674.828, 77
1536308675.827, 64
1536308676.821, 74
1536308677.842, 54
1536308678.829, 51
1536308679.858, 54
1536308680.808, 41
1536308681.828, 56
1536308682.813, 61
1536308683.828, 60
1536308684.843, 63
1536308685.829, 60
1536308686.828, 56
1536308687.829, 54
1536308688.822, 64
1536308689.823, 54
1536308690.807, 50
1536308691.821, 43
1536308692.810, 38
1536308693.827, 51
1536308694.811, 50
1536308695.816, 57
1536308696.823, 44
1536308697.809, 43
1536308698.824, 54
1536308699.843, 56
