Time, PoorSignal, Attention, Meditation
1538403762.254, 0, 40, 57
1538403763.276, 0, 43, 53
1538403764.245, 0, 47, 66
1538403765.255, 0, 54, 53
1538403766.244, 0, 75, 30
1538403767.275, 0, 83, 34
1538403768.274, 0, 87, 30
1538403769.245, 0, 77, 43
1538403770.258, 0, 81, 56
1538403771.245, 0, 66, 54
1538403772.257, 0, 70, 53
1538403773.272, 0, 83, 41
1538403774.255, 0, 69, 41
1538403775.273, 0, 77, 34
1538403776.245, 0, 64, 27
1538403777.246, 0, 64, 41
1538403778.245, 0, 69, 43
1538403779.260, 0, 64, 50
1538403780.252, 0, 77, 38
1538403781.253, 0, 83, 21
1538403782.260, 0, 78, 29
1538403783.276, 0, 81, 38
1538403784.257, 0, 80, 61
1538403785.260, 0, 75, 67
1538403786.257, 0, 75, 56
1538403787.256, 0, 83, 38
1538403788.240, 0, 77, 21
1538403789.259, 0, 64, 37
1538403790.254, 0, 60, 38
1538403791.246, 0, 54, 53
1538403792.256, 0, 53, 70
1538403793.272, 0, 63, 57
1538403794.253, 0, 77, 63
1538403795.256, 0, 80, 61
1538403796.258, 0, 80, 51
1538403797.274, 0, 84, 51
1538403798.237, 0, 70, 48
1538403799.257, 0, 57, 40
1538403800.260, 0, 56, 35
1538403801.262, 0, 53, 40
1538403802.254, 0, 54, 43
1538403803.275, 0, 57, 48
1538403804.273, 0, 74, 43
1538403805.261, 0, 67, 40
1538403806.246, 0, 80, 38
1538403807.261, 0, 78, 40
1538403808.247, 0, 64, 44
1538403809.252, 0, 48, 38
1538403810.240, 0, 51, 34
1538403811.246, 0, 60, 37
1538403812.256, 0, 54, 29
1538403813.258, 0, 64, 27
1538403814.255, 0, 56, 30
1538403815.271, 0, 44, 30
1538403816.256, 0, 54, 26
1538403817.259, 0, 60, 27
1538403818.246, 0, 61, 7
1538403819.277, 0, 67, 10
1538403820.242, 0, 56, 16
1538403821.258, 0, 61, 40
1538403822.271, 0, 54, 64
1538403823.254, 0, 53, 64
1538403824.259, 0, 70, 78
1538403825.246, 0, 64, 61
1538403826.255, 0, 66, 53
1538403827.268, 0, 63, 40
1538403828.259, 0, 56, 40
1538403829.260, 0, 48, 35
1538403830.253, 0, 48, 30
1538403831.272, 0, 51, 44
1538403832.276, 0, 47, 38
1538403833.257, 0, 66, 57
1538403834.275, 0, 70, 61
1538403835.241, 0, 67, 56
1538403836.289, 0, 74, 54
1538403837.240, 0, 54, 43
1538403838.258, 0, 51, 54
1538403839.276, 0, 60, 51
1538403840.243, 0, 64, 51
1538403841.256, 0, 61, 40
1538403842.241, 0, 66, 37
1538403843.255, 0, 44, 24
1538403844.273, 0, 40, 20
1538403845.256, 0, 44, 29
1538403846.257, 0, 47, 37
1538403847.261, 0, 60, 38
1538403848.247, 0, 53, 53
1538403849.240, 0, 61, 60
1538403850.244, 0, 48, 50
1538403851.258, 0, 51, 56
1538403852.243, 0, 60, 50
1538403853.254, 0, 60, 47
1538403854.259, 0, 77, 43
1538403855.251, 0, 69, 41
1538403856.273, 0, 67, 43
1538403857.259, 0, 51, 35
1538403858.272, 0, 47, 30
1538403859.239, 0, 60, 44
1538403860.262, 0, 51, 54
1538403861.261, 0, 64, 57
1538403862.277, 0, 48, 60
1538403863.272, 0, 38, 69
1538403864.272, 0, 37, 57
1538403865.255, 0, 48, 60
1538403866.289, 0, 50, 64
1538403867.247, 0, 44, 47
1538403868.257, 0, 54, 34
1538403869.237, 0, 40, 26
1538403870.252, 0, 37, 26
1538403871.244, 0, 56, 29
1538403872.253, 0, 51, 41
1538403873.263, 0, 66, 43
1538403874.257, 0, 87, 44
1538403875.256, 0, 77, 34
1538403876.261, 0, 60, 38
1538403877.242, 0, 43, 37
1538403878.273, 0, 29, 44
1538403879.247, 0, 37, 66
1538403880.257, 0, 57, 70
1538403881.239, 0, 67, 83
1538403882.245, 0, 63, 78
1538403883.257, 0, 56, 75
1538403884.244, 0, 61, 74
1538403885.252, 0, 60, 77
1538403886.244, 0, 70, 84
1538403887.261, 0, 90, 78
1538403888.267, 0, 87, 80
1538403889.258, 0, 78, 63
1538403890.274, 0, 78, 51
1538403891.242, 0, 63, 54
1538403892.269, 0, 60, 54
1538403893.254, 0, 69, 63
1538403894.257, 0, 57, 64
1538403895.256, 0, 63, 63
1538403896.242, 0, 57, 57
1538403897.252, 0, 57, 57
1538403898.241, 0, 60, 54
1538403899.243, 0, 51, 66
1538403900.276, 0, 50, 74
1538403901.259, 0, 40, 81
1538403902.253, 0, 40, 84
1538403903.262, 0, 40, 61
1538403904.256, 0, 48, 56
1538403905.269, 0, 51, 43
1538403906.237, 0, 60, 48
1538403907.275, 0, 61, 64
1538403908.243, 0, 61, 66
1538403909.246, 0, 67, 69
1538403910.237, 0, 63, 57
1538403911.242, 0, 57, 53
1538403912.260, 0, 48, 47
1538403913.258, 0, 53, 51
1538403914.255, 0, 53, 66
1538403915.259, 0, 53, 60
1538403916.246, 0, 56, 57
1538403917.257, 0, 48, 56
1538403918.254, 0, 27, 34
1538403919.256, 0, 35, 21
1538403920.239, 0, 38, 30
1538403921.258, 0, 34, 29
1538403922.277, 0, 50, 35
1538403923.242, 0, 54, 53
1538403924.252, 0, 56, 54
